Order Number,Sales Date,Departure Date,Channel,Journey Type,Fare Carrier,Origin Country,Destination Country,Origin Airport Code,Destination Airport Code,Number of Passengers,Base Fare,Tax,Margin
BUSA-5401446,2022-07-31,2022-12-01,Aeroprice,One Way,AS,United States,United States,SFO,LAX,3,79.15583958,48.76093602,-20.276711799900003
BUSA-5401239,2022-07-31,2022-08-19,Aeroprice,Return,LA,Colombia,Colombia,BAQ,MDE,1,53.443494,15.8274963,1.099510886
BUSA-5400429,2022-07-31,2022-09-02,Aeroprice,Return,PR,Australia,Philippines,MEL,MNL,1,602.3695,163.490169,-23.235075336400072
BUSA-5398874,2022-07-31,2022-08-14,Google Flights,Return,EK,United States,Pakistan,IAH,LHE,2,1351.9418400000002,1131.84962712,24.930292913400088
BUSA-5400951,2022-07-31,2022-08-18,Aeroprice,One Way,NK,United States,United States,ATL,PHL,1,26.395059429999996,0.0,-6.622459071099996
BUSA-5400828,2022-07-31,2022-08-01,Aeroprice,One Way,VH,Colombia,Colombia,BOG,BAQ,1,28.183449399999997,9.334340169999999,4.5303292886000035
BUSA-5401988,2022-07-31,2022-08-07,Google Flights,One Way,QR,United States,India,LAX,BOM,1,361.84409,262.092476,-1.1835622767999547
BUSA-5397971,2022-07-31,2022-09-18,Google Flights,Return,TK,United States,Uzbekistan,SEA,TAS,1,630.906192,638.32227876,22.667642564999763
BUSA-5401451,2022-07-31,2022-08-05,Jetcost,One Way,AA,United States,United States,CVG,DFW,1,304.76073991,37.133027289999994,-1.464243227499999
BUSA-5401409,2022-07-31,2022-08-03,Direct,One Way,CX,Philippines,United States,MNL,SAN,1,1232.2258199999999,329.05319179,29.03987651
BUSA-5401620,2022-07-31,2022-08-24,Direct,Return,UA,United States,Portugal,EWR,LIS,1,596.55377,361.23775666,23.74156995999987
BUSA-5401986,2022-07-31,2022-08-13,Aeroprice,One Way,F9,United States,United States,PHL,ATL,1,37.133027289999994,0.0,-6.352542939099996
