Order Number,Sales Date,Departure Date,Channel,Journey Type,Fare Carrier,Origin Country,Destination Country,Origin Airport Code,Destination Airport Code,Number of Passengers,Base Fare,Tax,Margin
BUSA-6077743,2022-10-31,2022-11-02,Aeroprice,Return,BA,United States,United Kingdom,EWR,LHR,2,823.0504,1256.8983328,42.279578479999714
BUSA-6075125,2022-10-31,2022-12-01,Direct,Return,EK,United States,United Arab Emirates,IAD,DXB,1,821.0429599999999,448.74313759999995,35.95849584799996
BUSA-6076068,2022-10-31,2023-02-28,Google Flights,One Way,TK,United States,Egypt,IAH,CAI,3,717.6597999999999,914.7602964,101.99844324399999
BUSA-6075422,2022-10-31,2022-11-23,Kayak Group,Return,LX,United States,Greece,ORD,ATH,1,632.3435999999999,469.31939759999995,-14.830193200000135
BUSA-6075296,2022-10-31,2022-12-03,Google Flights,Return,TK,United States,India,DFW,BOM,1,1084.0176,701.0883828,49.26656302400009
BUSA-6073932,2022-10-31,2022-12-13,Aeroprice,One Way,EI,United States,United Kingdom,JFK,MAN,1,321.19039999999995,165.413056,-9.864879984000027
BUSA-6075916,2022-10-31,2022-11-20,Aeroprice,Return,NK,United States,United States,FLL,ATL,2,446.92640439999997,0.0,36.80086812400005
BUSA-6075374,2022-10-31,2022-11-22,Aeroprice,Return,UA,United States,United States,EWR,PIT,1,151.53160839999998,21.238715199999998,-0.08175156799998984
BUSA-6076367,2022-10-31,2022-11-08,Aeroprice,One Way,G3,Brazil,Brazil,BSB,CGR,1,72.26783999999999,7.226783999999999,22.100133808000002
BUSA-6075330,2022-10-31,2022-12-07,Aeroprice,Return,LA,Peru,Peru,LIM,CUZ,4,481.7856,155.57659999999998,197.5765205919999
BUSA-6077929,2022-10-31,2022-11-11,Aeroprice,One Way,PC,Georgia,Spain,TBS,MAD,3,460.85,413.79,40.825826543999966
BUSA-6076846,2022-10-31,2022-11-26,Google Flights,One Way,RJ,United States,Israel,ORD,TLV,1,278.03044,305.03050799999994,-3.83237759999993
BUSA-6075102,2022-10-31,2023-02-08,Google Flights,Return,AI,United States,India,ORD,HYD,1,153.56915999999998,599.9635928,19.367463019999953
BUSA-6078021,2022-10-31,2022-11-25,Aeroprice,Return,LH,United States,India,SFO,BOM,1,895.31824,689.1441148,7.7875832440000075
BUSA-6075607,2022-10-31,2023-02-05,Google Flights,Return,QR,United States,India,ATL,AMD,1,589.18364,560.8185128,6.950330056000009
BUSA-6076566,2022-10-31,2022-12-18,Kayak Group,One Way,EI,United States,Republic of Ireland,MIA,DUB,1,250.92999999999998,165.413056,2.6867514599999325
BUSA-6077452,2022-10-31,2022-11-01,Aeroprice,One Way,F9,United States,United States,LAS,ORD,1,198.7064484,0.0,-0.4904890400000044
BUSA-6076904,2022-10-31,2022-11-12,Direct,One Way,F9,United States,United States,DEN,SLC,2,118.39881119999998,0.0,-0.47442951999999394
BUSA-6076181,2022-10-31,2022-11-17,Aeroprice,One Way,LA,Peru,Peru,LIM,IQT,1,70.26039999999999,24.219763599999997,17.675864200000003
BUSA-6076022,2022-10-31,2022-11-21,Google Flights,One Way,NK,United States,United States,DTW,PHL,2,136.33528760000002,0.0,2.850995211999989
BUSA-6074619,2022-10-31,2022-12-17,Google Flights,One Way,SY,United States,United States,EWR,MSP,1,88.92959199999999,0.0,-3.1499455519999913
BUSA-6072713,2022-10-31,2022-12-28,Google Flights,One Way,SY,United States,United States,SEA,MSP,1,98.96679199999998,0.0,9.026796472000008
BUSA-6077025,2022-10-31,2022-11-14,Google Flights,One Way,SY,United States,United States,MSP,DFW,1,103.98539199999999,0.0,-3.1860794719999923
BUSA-6074763,2022-10-31,2022-10-31,Aeroprice,One Way,TK,United Kingdom,Turkey,STN,SAW,1,48.95688,75.75494359999999,-15.113896555999997
BUSA-6077334,2022-10-31,2022-12-07,Google Flights,Return,AM,United States,Mexico,MIA,MEX,1,224.83328,164.9312704,-4.874238959999956
BUSA-6073466,2022-10-31,2022-11-14,Kayak Group,One Way,LH,United States,Greece,JFK,ATH,2,527.95672,451.07176799999996,-26.011633999999933
BUSA-6072711,2022-10-31,2023-01-02,Aeroprice,One Way,MH,Japan,Malaysia,KIX,KUL,1,446.60200000000003,51.78576,-7.379316212000084
BUSA-6074067,2022-10-31,2022-11-17,Aeroprice,Return,PR,Qatar,Philippines,DOH,MNL,1,484.89924,176.728328,-20.906546472000056
BUSA-6077016,2022-10-31,2023-04-10,Aeroprice,Return,SV,Egypt,Saudi Arabia,CAI,JED,6,168.62496,1253.4856847999997,54.499435748000316
BUSA-6077820,2022-10-31,2022-11-24,Google Flights,One Way,SY,United States,United States,SEA,AVL,1,165.212312,0.0,19.076643343999997
BUSA-6077610,2022-10-31,2022-11-01,Jetradar,Return,AM,United States,Costa Rica,SFO,SJO,1,528.96044,146.3524132,0.5024333399999907
BUSA-6075900,2022-10-31,2022-12-08,Google Flights,Return,EI,United States,Germany,LAX,BER,2,1644.0933599999998,874.4007151999999,1.7467337119999877
BUSA-6076903,2022-10-31,2022-11-07,Google Flights,Return,F9,United States,United States,ATL,SEA,1,208.73361119999998,0.0,11.06192667200001
BUSA-6071765,2022-10-31,2023-05-26,Aeroprice,Return,UA,United States,Italy,DEN,VCE,3,3251.6640000000007,1433.983824,43.01642800000022
BUSA-6077704,2022-10-31,2022-11-01,Aeroprice,One Way,F9,United States,United States,DFW,LAS,1,169.60860559999998,0.0,-6.135410319999972
BUSA-6073413,2022-10-31,2022-12-17,Google Flights,One Way,SY,United States,United States,MSP,DEN,1,48.780792,0.0,-4.054899504
BUSA-6077353,2022-10-31,2022-11-16,Google Flights,Return,NK,United States,United States,MCI,PHX,5,637.6231672,0.0,85.37385207199999
BUSA-6076152,2022-10-31,2022-12-02,Aeroprice,Return,NK,United States,United States,MIA,MSY,1,78.6314248,0.0,10.269301459999998
BUSA-6072232,2022-10-31,2022-12-03,Google Flights,Return,NK,United States,United States,SAN,LAS,2,7.032626239999956,0.0,179.02625202400003
BUSA-6071835,2022-10-31,2022-10-31,Jetradar,One Way,PR,Qatar,Indonesia,DOH,CGK,1,347.2456,129.01278000000002,-14.305190635999999
BUSA-6077675,2022-10-31,2022-12-02,Google Flights,Return,CI,United States,Hong Kong,JFK,HKG,1,1278.73928,372.15930159999994,-22.852324927999902
BUSA-6075142,2022-10-31,2022-11-12,Google Flights,Return,EK,United States,India,BOS,BLR,1,777.883,570.2534807999999,30.422334728000013
BUSA-6073170,2022-10-31,2022-11-12,Google Flights,Return,EY,United States,India,JFK,AMD,1,1627.8392000000001,681.2637520000001,47.01188181599984
BUSA-6075848,2022-10-31,2022-11-21,Direct,One Way,AS,United States,United States,SEA,LAX,2,175.5305536,42.477430399999996,7.856644967999996
BUSA-6077222,2022-10-31,2022-11-07,Aeroprice,One Way,F9,United States,United States,SEA,LAS,1,40.118688399999996,0.0,-10.938411263999996
BUSA-6076621,2022-10-31,2022-11-16,Google Flights,One Way,NK,United States,United States,MCO,LGA,2,140.4103908,0.0,5.851114292000021
BUSA-6075551,2022-10-31,2022-11-01,Google Flights,One Way,NK,United States,United States,FLL,PHL,2,168.28369519999998,0.0,-4.824552000000003
BUSA-6073220,2022-10-31,2022-11-06,Google Flights,Return,NK,United States,United States,SAN,LAS,4,216.72322239999997,0.0,-21.030165999999966
BUSA-6074051,2022-10-31,2023-02-04,Aeroprice,One Way,CI,United States,Thailand,LAX,BKK,1,506.87859999999995,176.755092,24.729679463999947
BUSA-6072917,2022-10-31,2022-12-26,Google Flights,One Way,CM,United States,Guatemala,TPA,GUA,1,175.63,43.20498,18.034868599999985
BUSA-6074135,2022-10-31,2022-11-16,Aeroprice,Return,PR,Taiwan,Philippines,TPE,MNL,1,203.75516,85.3162,-21.510094984000006
BUSA-6076086,2022-10-31,2023-01-14,Google Flights,One Way,TK,United States,Vietnam,ATL,SGN,1,677.511,376.194256,-8.742575840000018
BUSA-6077626,2022-10-31,2022-12-07,Google Flights,Return,SK,United States,Poland,MIA,WAW,1,120.4464,274.1962296,10.054334156000039
BUSA-6077294,2022-10-31,2022-12-03,Google Flights,Return,SK,United States,Republic of Ireland,ORD,DUB,1,318.17924,335.9250096,9.905482479999982
BUSA-6072036,2022-10-31,2022-12-14,Google Flights,Return,TK,United States,Israel,MIA,TLV,1,392.4076,625.5840240000001,-7.53378146800015
BUSA-6075838,2022-10-31,2022-11-15,Aeroprice,One Way,F9,United States,United States,RDU,ATL,1,49.16220559999999,0.0,-11.578985367999998
BUSA-6077560,2022-10-31,2022-10-31,Aeroprice,One Way,F9,United States,United States,LGA,ATL,1,170.4011218,0.0,-14.591529464000011
BUSA-6072803,2022-10-31,2022-11-03,Google Flights,One Way,SY,United States,United States,MSP,DEN,1,82.90727199999999,0.0,-3.1354919839999917
BUSA-6075518,2022-10-31,2022-12-31,Google Flights,One Way,SY,United States,United States,MSP,DEN,1,82.90727199999999,0.0,-3.1354919839999917
BUSA-6072969,2022-10-31,2023-01-13,Aeroprice,Return,UA,United States,United States,SEA,EWR,5,784.21304,205.33656000000005,243.11448504799986
BUSA-6074048,2022-10-31,2022-11-09,Aeroprice,Return,F9,United States,United States,ATL,LGA,1,100.33185119999999,0.0,-12.363492919999992
BUSA-6076364,2022-10-31,2022-11-20,Aeroprice,One Way,KE,United States,Thailand,BOS,BKK,1,375.39127999999994,175.14914,-18.10527599999999
BUSA-6075664,2022-10-31,2022-12-03,Kayak Group,Return,PR,United States,Philippines,JFK,MNL,1,6271.24256,485.1781736,-102.67009120800037
BUSA-6075186,2022-10-31,2022-11-10,Google Flights,Return,SY,United States,United States,MSP,RSW,1,250.12702399999998,0.0,-2.1501400599999894
BUSA-6076135,2022-10-31,2022-12-31,Direct,One Way,TK,Senegal,United States,DSS,JFK,1,411.5252,414.7170296,8.723758111999967
BUSA-6076992,2022-10-31,2022-12-07,Aeroprice,One Way,TK,Israel,Netherlands,TLV,AMS,1,20.0,151.04,-16.522800355999976
BUSA-6073756,2022-10-31,2023-04-20,Aeroprice,Return,AY,South Korea,Italy,ICN,VCE,7,5198.647999999999,470.6884,85.9988364
BUSA-6077210,2022-10-31,2022-12-24,Aeroprice,Return,BR,United States,Indonesia,SEA,CGK,1,2138.92732,355.29680559999997,153.72441850000033
BUSA-6075196,2022-10-31,2022-11-28,Google Flights,Return,EK,United States,India,MIA,BLR,1,735.72676,570.2534807999999,10.216434935999999
