Order Number,Sales Date,Departure Date,Channel,Journey Type,Fare Carrier,Origin Country,Destination Country,Origin Airport Code,Destination Airport Code,Number of Passengers,Base Fare,Tax,Margin
BUSA-5159073,2022-06-30,2022-07-05,Aeroprice,One Way,AV,Colombia,Colombia,BOG,IBE,1,52.048704,6.6557856,0.639866146399994
BUSA-5162400,2022-06-30,2022-08-01,Aeroprice,One Way,BF,France,United States,ORY,EWR,1,819.610855,198.57323338999998,25.566866742000006
BUSA-5163467,2022-06-30,2022-07-03,Aeroprice,One Way,F9,United States,United States,DEN,LAS,1,87.6918924,0.0,-8.382098400000004
BUSA-5165615,2022-06-30,2022-07-02,Aeroprice,One Way,LA,Colombia,Colombia,PSO,BOG,1,61.594215000000005,7.2867118500000005,3.788122693999977
BUSA-5165356,2022-06-30,2022-07-02,Aeroprice,One Way,LA,Colombia,Colombia,MDE,CTG,2,77.7249264,12.34673472,-3.6677627179999845
BUSA-5163547,2022-06-30,2022-07-01,Aeroprice,One Way,TK,Israel,Turkey,TLV,AYT,1,55.0,83.73,-11.490014616000028
BUSA-5164463,2022-06-30,2022-07-07,Google Flights,One Way,UP,United States,The Bahamas,FLL,NAS,1,87.71096,29.364104,3.1439450499999997
BUSA-5159489,2022-06-30,2022-07-01,Direct,Return,AV,Colombia,Colombia,CUC,BOG,1,59.30328,14.89606272,2.2698544378999945
BUSA-5166373,2022-06-30,2022-07-07,Jetcost,One Way,AA,Canada,United States,YYZ,SFO,6,783.67836,511.96506000000005,-1.8986503999999922
BUSA-5166912,2022-06-30,2022-12-13,Google Flights,One Way,EI,United States,United Kingdom,BOS,MAN,2,373.72496,319.572976,10.537422280000154
BUSA-5165692,2022-06-30,2023-04-05,Kayak Group,One Way,EI,United States,United Kingdom,LAX,LGW,2,676.8998,315.56878,-35.091344519999915
BUSA-5162629,2022-06-30,2022-07-02,Google Flights,Return,EK,United States,United Arab Emirates,JFK,DXB,4,4478.012602,1692.92754036,151.33726260000043
BUSA-5159060,2022-06-30,2022-06-30,Aeroprice,One Way,LA,Peru,Peru,TBP,TPP,2,263.412506,56.88952108,-0.338865422100012
BUSA-5164746,2022-06-30,2022-08-08,Aeroprice,Return,OZ,United States,South Korea,LAX,ICN,2,1874.34508,953.5134732,67.01951083600007
BUSA-5162014,2022-06-30,2022-07-15,Google Flights,One Way,PR,United States,Indonesia,SFO,DPS,1,1022.381633,238.58729860000003,-13.82995387799976
BUSA-5160554,2022-06-30,2022-06-30,Google Flights,One Way,QR,United States,India,IAD,DEL,1,836.666341,253.937236,-13.423371624000076
BUSA-5165108,2022-06-30,2022-09-15,Google Flights,One Way,S4,United States,Portugal,JFK,OPO,1,175.42192,172.752456,-4.614104128000014
BUSA-5165737,2022-06-30,2022-07-08,Aeroprice,Return,AS,United States,United States,SMF,PDX,1,205.7584716,51.8448044,-6.184998761999999
BUSA-5161228,2022-06-30,2022-07-01,Google Flights,Return,CM,United States,Ecuador,ORD,GYE,1,750.441384,115.14348104,-15.214089959999967
BUSA-5166309,2022-06-30,2022-12-07,Google Flights,Return,KE,United States,Vietnam,SEA,SGN,1,688.34036,350.6245626,43.87458077200001
BUSA-5160832,2022-06-30,2022-08-19,Google Flights,Return,PR,United States,Singapore,LAX,SIN,1,587.46674,512.96269199,30.00728455199998
BUSA-5159894,2022-06-30,2022-07-10,Google Flights,Return,QR,United States,Jordan,MIA,AMM,1,1357.8061910000001,572.18312949,6.301983049999979
BUSA-5160640,2022-06-30,2022-07-15,Google Flights,Return,QR,United States,India,SFO,DEL,1,1556.786861,530.81410067,-67.31813063000025
BUSA-5163737,2022-06-30,2022-06-30,Jetcost,Return,UA,United States,Canada,ABQ,YVR,2,1227.95344,263.8383812,10.021980600000001
BUSA-5164397,2022-06-30,2022-07-01,Aeroprice,One Way,AV,Colombia,Colombia,BOG,MDE,1,75.31702,7.913054000000001,-8.539536174000009
BUSA-5159167,2022-06-30,2022-07-01,Jetradar,One Way,AV,Colombia,Colombia,CUC,BOG,2,57.806304,11.27568384,20.23757165850001
BUSA-5165162,2022-06-30,2022-07-01,Aeroprice,One Way,AV,Mexico,Costa Rica,MEX,SJO,1,81.0373,81.800004,-0.07666792800002487
BUSA-5160342,2022-06-30,2022-10-28,Aeroprice,One Way,DG,Philippines,Philippines,CEB,DGT,1,27.810094600000003,0.0,-6.462849122000003
BUSA-5167426,2022-06-30,2022-07-12,Aeroprice,One Way,F9,United States,United States,MCO,LGA,1,100.0858324,0.0,1.5008293560000006
BUSA-5165500,2022-06-30,2022-08-04,Google Flights,One Way,PD,United States,Canada,IAD,YTZ,2,149.3374432,39.0313772,-2.565672424000004
BUSA-5159171,2022-06-30,2022-07-21,Google Flights,One Way,PD,United States,Canada,MDW,YTZ,1,98.54280800000001,21.224604799999998,-3.0799652576000005
BUSA-5164095,2022-06-30,2022-07-02,Aeroprice,One Way,TG,Thailand,Thailand,BKK,KKC,1,47.669000000000004,2.669464,-12.351530765999996
BUSA-5163089,2022-06-30,2022-07-01,Aeroprice,One Way,TK,Lebanon,Turkey,BEY,ADA,1,80.0,92.43,-8.849743142000012
BUSA-5164043,2022-06-30,2022-07-01,Direct,One Way,TO,France,Greece,ORY,JMK,1,247.7739282,0.0,5.821547516000019
BUSA-5160502,2022-06-30,2022-08-22,Aeroprice,One Way,Z2,Philippines,Philippines,MNL,CGY,1,30.2412136,0.0,-9.256919887999995
BUSA-5161101,2022-06-30,2022-10-14,Google Flights,One Way,CM,United States,Bolivia,JFK,VVI,2,583.676632,60.736480699999994,64.89485440399996
BUSA-5164854,2022-06-30,2022-07-04,Kayak Group,One Way,EI,United States,United Kingdom,PHL,LHR,1,449.04198,157.78439,-25.56822237600003
BUSA-5165513,2022-06-30,2022-09-23,Google Flights,One Way,EI,United States,Germany,JFK,BER,1,202.11656,158.26108,-0.6752798999999818
BUSA-5166275,2022-06-30,2022-07-12,Kayak Group,One Way,EI,United States,United Kingdom,IAD,EDI,1,436.64804,157.78439,-7.817334929999955
BUSA-5159421,2022-06-30,2022-07-02,Aeroprice,Return,LA,Colombia,Colombia,MDE,CLO,1,80.6064,12.2752032,-1.961549882000007
BUSA-5163133,2022-06-30,2022-07-04,Google Flights,One Way,PR,United States,Thailand,SFO,BKK,1,966.72732,241.395816,16.77974307200017
BUSA-5164394,2022-06-30,2022-08-16,Google Flights,One Way,SK,United States,Austria,ORD,VIE,1,248.83218,227.095116,-7.574921619999943
BUSA-5164055,2022-06-30,2022-07-01,Aeroprice,Return,TG,Thailand,Thailand,KKC,BKK,1,105.82518,4.004196,-4.735851317999991
BUSA-5167351,2022-06-30,2022-07-05,Aeroprice,One Way,KL,Croatia,United States,SPU,MIA,1,677.0,211.57,9.806982176000119
BUSA-5161737,2022-06-30,2022-12-20,Aeroprice,Return,LA,Argentina,Mexico,EZE,CUN,2,2049.194182,420.080066,62.90538842999986
BUSA-5161798,2022-06-30,2022-12-29,Direct,Return,PR,United States,Philippines,HNL,LAO,3,2782.886799,1423.4792873699998,4.578285554000402
BUSA-5162187,2022-06-30,2022-12-19,Google Flights,Return,PR,United States,Philippines,LAX,DVO,1,1359.701245,483.96836579,9.290426842000045
BUSA-5167034,2022-06-30,2022-08-21,Kayak Group,Return,PR,United States,Indonesia,LAX,DPS,1,681.6667000000001,495.4429846,-4.24365188400013
BUSA-5160757,2022-06-30,2022-09-07,Aeroprice,Return,TK,United States,Egypt,DFW,CAI,1,459.550595,593.12347619,-19.799974223999868
BUSA-5165667,2022-06-30,2022-08-02,Direct,Return,OZ,United States,Vietnam,DEN,SGN,1,726.47556,364.5439106,13.926596200000011
BUSA-5165808,2022-06-30,2022-11-14,Aeroprice,One Way,AR,Argentina,Argentina,AEP,USH,1,110.49408468,10.7933362712,-7.4609201392000095
BUSA-5163984,2022-06-30,2022-07-14,Aeroprice,One Way,AV,Colombia,Colombia,PEI,SMR,4,165.955734,25.130439720000005,6.377075783999976
BUSA-5164495,2022-06-30,2022-07-06,Aeroprice,One Way,AV,Colombia,Colombia,CTG,CLO,1,46.1840397,8.004923640000001,3.600839674999998
BUSA-5159818,2022-06-30,2022-07-12,Aeroprice,One Way,EI,United States,United Kingdom,JFK,MAN,4,1629.7464400000001,624.6097984,26.199270873999833
BUSA-5161721,2022-06-30,2022-11-05,Aeroprice,One Way,FR,Portugal,Spain,OPO,BCN,3,95.7860886,0.0,-12.922379973999995
BUSA-5160945,2022-06-30,2022-07-01,Aeroprice,One Way,LA,Colombia,Colombia,CLO,MDE,1,60.641728,7.1064525,-6.796947338000006
BUSA-5162539,2022-06-30,2022-06-30,Direct,One Way,HR,Tanzania,Uganda,JRO,EBB,1,67.0,92.88,9.419106788000011
BUSA-5167116,2022-06-30,2022-07-01,Aeroprice,One Way,UX,Spain,Spain,BCN,MAD,1,79.0,19.16,-12.080289356000007
BUSA-5160460,2022-06-30,2022-07-27,Google Flights,Return,AM,United States,Mexico,SAT,MEX,1,115.59829400000001,157.31790781,-4.60163767800002
BUSA-5167066,2022-06-30,2022-08-09,Aeroprice,Return,F9,United States,United States,SLC,LAS,5,228.62052400000002,0.0,-19.65255600200002
BUSA-5159731,2022-06-30,2022-07-01,Jetradar,Return,WN,United States,United States,LGA,BNA,2,524.75940314,57.98865240000001,12.171630542000125
BUSA-5160496,2022-06-30,2022-07-22,Jetradar,Return,WN,United States,United States,MIA,MDW,3,499.15722359999995,120.46858278,61.165214936000055
BUSA-5162716,2022-06-30,2022-07-11,Aeroprice,One Way,AS,United States,United States,LGA,SEA,1,216.83207868,38.621200519999995,-6.7899070879999925
BUSA-5166951,2022-06-30,2022-09-02,Google Flights,One Way,AT,United States,Portugal,IAD,LIS,2,259.31936,458.09909,6.357361687999953
BUSA-5161841,2022-06-30,2022-08-05,Aeroprice,One Way,AT,Egypt,United States,CAI,MIA,1,319.316599,306.07017154,18.94360811199987
BUSA-5167097,2022-06-30,2022-07-29,Aeroprice,One Way,EK,Netherlands,Saudi Arabia,AMS,RUH,1,534.0,201.84,-16.11960781200009
BUSA-5159772,2022-06-30,2022-07-18,Kayak Group,One Way,EK,United States,Egypt,MCO,CAI,2,1224.204884,505.22139640000006,-25.2758009039999
BUSA-5167178,2022-06-30,2022-07-10,Direct,Return,F9,United States,United States,ATL,FLL,1,100.0667648,0.0,-7.078255912000008
BUSA-5166042,2022-06-30,2022-07-03,Google Flights,One Way,QR,United States,India,LAX,COK,1,1174.56416,255.50584,9.595738194000097
BUSA-5167344,2022-06-30,2022-08-12,Aeroprice,Return,RO,Romania,United Kingdom,OTP,LHR,6,1368.0,605.88,-22.16576851599997
BUSA-5163138,2022-06-30,2022-07-05,Direct,Return,BR,United States,Vietnam,LAX,SGN,3,4162.45708,1004.5860398,169.350134664
BUSA-5165649,2022-06-30,2022-07-07,Google Flights,Return,SK,United States,Netherlands,LAX,AMS,1,1631.23318,515.1779506,44.1472326859998
BUSA-5165489,2022-06-30,2022-07-15,Google Flights,One Way,AM,United States,Mexico,MCO,MEX,1,204.9767,58.651937600000004,7.297535695999995
BUSA-5165714,2022-06-30,2022-07-12,Aeroprice,One Way,AM,United States,Mexico,IAH,MEX,1,68.64336,58.651937600000004,-11.878368272000003
BUSA-5161963,2022-06-30,2022-07-23,Aeroprice,One Way,LA,Colombia,Colombia,SMR,CLO,3,134.548834,19.3295508,-6.191973292
