Order Number,Sales Date,Departure Date,Channel,Journey Type,Fare Carrier,Origin Country,Destination Country,Origin Airport Code,Destination Airport Code,Number of Passengers,Base Fare,Tax,Margin
BUSA-6313026,2022-11-30,2022-12-11,Google Flights,One Way,EI,United States,Republic of Ireland,JFK,DUB,1,305.18363600000004,159.15906080000002,19.436456648999965
BUSA-6314384,2022-11-30,2022-12-08,Aeroprice,One Way,F9,United States,United States,TPA,PHL,1,37.63609587,0.0,-9.800551520699997
BUSA-6309526,2022-11-30,2022-12-18,Aeroprice,One Way,JA,Peru,Chile,LIM,SCL,2,218.66986982,0.0,-3.6034887450000017
BUSA-6308089,2022-11-30,2022-12-29,Google Flights,One Way,NK,United States,United States,ATL,PHL,4,151.31700028,0.0,-14.270815748400008
BUSA-6313303,2022-11-30,2022-12-02,Google Flights,One Way,NK,United States,United States,LAS,LAX,1,126.92162481999999,0.0,12.096084631000018
BUSA-6307905,2022-11-30,2022-12-07,Google Flights,One Way,NK,United States,United States,FLL,ATL,3,92.88785478000001,0.0,-12.257762676000013
BUSA-6316104,2022-11-30,2022-12-07,Direct,One Way,PR,Saudi Arabia,Philippines,RUH,MNL,1,677.0054710000002,68.50213703000001,-6.89812531930005
BUSA-6312883,2022-11-30,2022-11-30,Direct,Return,AA,United States,United States,LAS,PHX,1,242.93003734,25.14867684,15.19036502919996
BUSA-6308735,2022-11-30,2022-12-07,Google Flights,Return,AI,United States,India,JFK,DEL,1,982.8789230000001,564.71736906,14.890309562999999
BUSA-6312234,2022-11-30,2022-12-09,Google Flights,Return,EI,United States,Republic of Ireland,JFK,SNN,1,106.23481000000001,348.62401558000005,17.84447973259996
BUSA-6306896,2022-11-30,2022-12-17,Google Flights,Return,EI,United States,Republic of Ireland,ORD,DUB,2,1132.091688,683.06715828,39.87933976640007
BUSA-6314514,2022-11-30,2022-12-01,Direct,One Way,F9,United States,United States,DEN,CLT,1,168.60430118000002,0.0,-0.018546793000019157
BUSA-6311175,2022-11-30,2022-11-30,Aeroprice,Return,SV,Saudi Arabia,Qatar,DMM,DIA,1,118.789833,148.40037186,11.233722566700006
BUSA-6312872,2022-11-30,2023-01-04,Google Flights,One Way,TK,United States,Tunisia,LAX,TUN,1,264.621254,290.8902252,3.0662786329000626
BUSA-6311947,2022-11-30,2023-04-08,Aeroprice,Return,BA,United States,Turkey,PHL,IST,4,1213.008376,1979.7532883200001,109.61406827170038
BUSA-6309241,2022-11-30,2022-12-19,Aeroprice,Return,EI,United States,France,MCO,CDG,4,1913.774044,1518.62013576,-59.72258366000007
BUSA-6308014,2022-11-30,2023-01-31,Google Flights,Return,EK,United States,India,ORD,AMD,2,1361.205482,1063.04949764,16.77343909959984
BUSA-6312432,2022-11-30,2022-12-26,Kayak Group,Return,EK,United States,Philippines,EWR,MNL,1,1858.143404,610.83084208,36.15255748710027
BUSA-6313205,2022-11-30,2022-12-03,Aeroprice,Return,QR,Pakistan,United States,KHI,JFK,2,1570.343646,875.3362035600001,49.113354368799804
BUSA-6314884,2022-11-30,2023-03-09,Google Flights,Return,QR,United States,Pakistan,PHL,ISB,1,599.7437910000001,567.0814157799999,4.4873408246001745
BUSA-6314880,2022-11-30,2023-01-01,Aeroprice,One Way,AS,United States,United States,SAN,SFO,1,137.19742826,24.38571775,5.795857159200008
BUSA-6306477,2022-11-30,2023-05-19,Aeroprice,One Way,EI,United States,Republic of Ireland,JFK,SNN,2,344.633354,317.29372480000006,17.878534262799885
BUSA-6311323,2022-11-30,2023-01-06,Aeroprice,One Way,EK,United Arab Emirates,India,DXB,CCU,2,225.99041400000002,161.67006540000003,-24.440134949399997
BUSA-6306463,2022-11-30,2022-12-19,Aeroprice,One Way,LA,Peru,Peru,IQT,LIM,1,49.095813,14.83463683,-12.402697904999998
BUSA-6306626,2022-11-30,2023-02-04,Google Flights,One Way,NK,United States,United States,FLL,MSY,2,52.132318579999996,0.0,-7.254103124999995
BUSA-6312769,2022-11-30,2022-12-14,Google Flights,One Way,NK,United States,United States,BNA,FLL,4,123.86978846,0.0,-13.14588568759999
BUSA-6309244,2022-11-30,2022-12-06,Google Flights,One Way,NK,United States,United States,MSY,ATL,1,26.066159289999998,0.0,-0.8124105549999978
BUSA-6312372,2022-11-30,2022-12-10,Google Flights,One Way,PR,United States,Philippines,JFK,MNL,1,5101.202422,228.69457280000003,-0.8713128070001233
BUSA-6306040,2022-11-30,2023-01-04,Google Flights,One Way,SY,United States,United States,DEN,MSP,1,56.41205180000001,0.0,-1.926853538200004
BUSA-6312089,2022-11-30,2022-11-30,Direct,One Way,TS,Canada,United States,YYZ,FLL,1,105.269039,67.85507046000001,4.561906520900024
BUSA-6309940,2022-11-30,2023-03-01,Google Flights,Return,CI,United States,Taiwan,SFO,TPE,1,607.4403530000001,274.53223434,1.4958509028000329
BUSA-6310278,2022-11-30,2022-12-07,Kayak Group,One Way,EK,United States,India,IAD,BOM,1,869.2846890000001,254.8168961,-19.183300194500085
BUSA-6309138,2022-11-30,2023-04-19,Aeroprice,Return,F9,United States,United States,LAS,ATL,1,75.28184945000001,0.0,-10.525555810400013
BUSA-6308803,2022-11-30,2022-12-24,Direct,Return,F9,United States,United States,CLE,MCO,1,121.02225956,0.0,0.5076707734999912
BUSA-6306975,2022-11-30,2022-12-25,Aeroprice,Return,BR,Philippines,Japan,MNL,NRT,4,561.7993935999999,599.2777404,58.76854526480017
BUSA-6313961,2022-11-30,2023-01-28,Google Flights,Return,EK,United States,India,IAD,DEL,3,2051.2976040000003,1665.51072034,70.58761576969968
BUSA-6308752,2022-11-30,2023-01-13,Google Flights,Return,EK,United States,India,JFK,MAA,1,818.26355,534.50900412,16.032675255899917
BUSA-6313500,2022-11-30,2023-01-21,Google Flights,Return,EK,United States,India,DFW,DEL,1,748.472525,535.05644942,5.593631505100346
BUSA-6311683,2022-11-30,2023-01-04,Kayak Group,Return,EK,United States,Greece,EWR,SKG,1,759.096006,165.99671948,-19.553210370000038
BUSA-6307519,2022-11-30,2023-02-02,Aeroprice,Return,LO,United States,Poland,ORD,WAW,1,277.97069999999997,0.0,479.6715084220001
BUSA-6309379,2022-11-30,2023-05-23,Aeroprice,Return,LO,United States,Serbia,EWR,BEG,2,308.05216,649.7590184800001,-9.65456047500011
BUSA-6314663,2022-11-30,2022-12-07,Direct,Return,NH,United States,Hong Kong,JFK,HKG,1,1254.7609320000001,502.5214938800001,26.08468454339993
BUSA-6313351,2022-11-30,2023-02-24,Aeroprice,Return,TK,United States,Israel,LAX,TLV,1,564.010264,601.675333,83.16628976710004
BUSA-6308639,2022-11-30,2022-12-11,Google Flights,Return,TK,United States,Egypt,SEA,CAI,1,782.645019,621.8417914800001,9.945563629999885
BUSA-6315509,2022-11-30,2023-01-15,Google Flights,Return,TK,United States,Lebanon,SFO,BEY,1,284.902445,619.23304978,-3.7925036897000677
BUSA-6306994,2022-11-30,2023-02-01,Google Flights,Return,TK,United States,Pakistan,ATL,KHI,4,1053.1533220000001,2677.66638776,22.20459052140068
BUSA-6314259,2022-11-30,2022-12-19,Aeroprice,One Way,EK,United States,India,LAX,AMD,2,5039.393078,1085.99017408,-73.1417348139997
BUSA-6307440,2022-11-30,2023-01-27,Google Flights,Return,TK,United States,Ghana,DFW,ACC,1,158.839395,751.72428344,40.898405956800055
BUSA-6314324,2022-11-30,2022-12-06,Google Flights,One Way,EI,United States,Republic of Ireland,PHL,DUB,1,146.797192,159.15906080000002,23.4066598168
BUSA-6315242,2022-11-30,2022-12-15,Aeroprice,One Way,F9,United States,United States,LGA,MIA,1,70.48196758,0.0,-8.306986669200006
BUSA-6308893,2022-11-30,2022-12-12,Direct,One Way,F9,United States,United States,MIA,LGA,2,198.91019516000003,0.0,-1.3217581804000114
BUSA-6311400,2022-11-30,2022-12-04,Aeroprice,One Way,LA,Peru,Peru,TPP,LIM,1,38.63084,11.917614140000001,-9.553190029999996
BUSA-6312183,2022-11-30,2022-12-08,Aeroprice,One Way,LA,Brazil,Brazil,CWB,CGH,1,92.0,7.07,102.1763858343
BUSA-6312793,2022-11-30,2022-12-01,Aeroprice,One Way,LA,Brazil,Brazil,SDU,CGH,1,92.0,7.15,217.43947871240005
BUSA-6315842,2022-11-30,2022-12-31,Aeroprice,One Way,MS,Egypt,Egypt,CAI,ASW,1,42.493924,29.69745825,-12.06664198
BUSA-6308605,2022-11-30,2022-12-06,Google Flights,One Way,NK,United States,United States,IAH,LAS,2,179.57545974,0.0,12.616635199999997
BUSA-6307488,2022-11-30,2022-12-16,Google Flights,One Way,PD,United States,Canada,EWR,YTZ,1,57.759780000000006,18.3868633,-2.3008081245999996
BUSA-6314472,2022-11-30,2022-12-17,Aeroprice,Return,AM,Colombia,Mexico,BOG,MEX,4,544.694844,635.2069021200001,-9.900275740400122
BUSA-6315831,2022-11-30,2022-12-07,Aeroprice,Return,EI,United States,Republic of Ireland,JFK,SNN,2,357.33527000000004,697.2480311600001,-33.183576286000175
BUSA-6306791,2022-11-30,2023-05-19,Google Flights,One Way,EI,United States,Italy,BOS,NAP,1,443.787643,159.3207265,-1.530457251199958
BUSA-6312173,2022-11-30,2022-12-28,Aeroprice,Return,F9,United States,United States,RDU,MCO,1,104.26463715999999,0.0,-1.2418737547999879
BUSA-6315651,2022-11-30,2022-12-21,Google Flights,One Way,F9,United States,United States,SAN,PHL,1,124.55548587,0.0,19.278925030300016
BUSA-6315148,2022-11-30,2022-12-21,Aeroprice,Return,OZ,United States,South Korea,HNL,ICN,1,895.2697170000001,530.86500328,38.432827816799815
BUSA-6313126,2022-11-30,2023-04-03,Aeroprice,Return,PR,United States,Philippines,LAX,MNL,5,2786.249335,2287.3320364,10.262731631499815
BUSA-6310302,2022-11-30,2023-01-06,Direct,One Way,CI,United States,Hong Kong,LAX,HKG,1,944.3724030000001,357.03245344000004,38.979733099000164
BUSA-6309582,2022-11-30,2023-03-22,Direct,Return,CM,Costa Rica,Colombia,SJO,BOG,1,134.77282,132.29877609000002,4.594018829999975
BUSA-6308937,2022-11-30,2023-01-16,Google Flights,Return,EK,United States,India,IAH,DEL,2,1158.4215796800001,1070.11289884,55.17607946969945
BUSA-6307031,2022-11-30,2023-01-26,Aeroprice,Return,EK,United States,India,SFO,DEL,7,4484.084254,3793.4890710599993,106.00739579850074
BUSA-6308716,2022-11-30,2023-01-15,Google Flights,Return,FI,United States,United Kingdom,ORD,LGW,1,9.62663,377.63344164,-12.85404414799996
BUSA-6306581,2022-11-30,2022-12-23,Aeroprice,Return,NH,Japan,United States,ITM,HNL,1,149.21276500000002,617.91412644,3.6011837200000087
BUSA-6313654,2022-11-30,2022-12-02,Kayak Group,Return,PR,United States,Philippines,SFO,DGT,1,1156.027887,482.67303038,-55.401857273200086
BUSA-6307385,2022-11-30,2023-09-06,Google Flights,One Way,AI,United States,India,JFK,BOM,2,386.99052600000005,541.016606,51.564111835299975
BUSA-6313127,2022-11-30,2023-01-14,Google Flights,One Way,EI,United States,Republic of Ireland,BOS,DUB,1,98.50864200000001,159.15906080000002,14.627882839999973
BUSA-6314003,2022-11-30,2022-12-02,Aeroprice,One Way,LA,Brazil,Brazil,GRU,SDU,2,184.0,14.42,454.21342290610005
BUSA-6311407,2022-11-30,2022-11-30,Aeroprice,One Way,LA,Peru,Brazil,LIM,GRU,2,583.325684,163.04146022,-16.12156301799989
BUSA-6308448,2022-11-30,2022-12-27,Google Flights,One Way,NK,United States,United States,MCO,CLT,1,86.84212832,0.0,-6.3783419821999985
BUSA-6313689,2022-11-30,2023-01-15,Google Flights,One Way,NK,United States,United States,LAS,DFW,2,95.26365144,0.0,-6.817381478800003
BUSA-6306351,2022-11-30,2023-02-15,Google Flights,One Way,OZ,United States,South Korea,JFK,ICN,1,589.149756,250.9662441,10.994113053799968
BUSA-6313563,2022-11-30,2022-12-14,Google Flights,One Way,PD,United States,Canada,BOS,YTZ,1,63.740886,18.88082305,-3.0316611208000017
BUSA-6310357,2022-11-30,2022-12-05,Google Flights,Return,NK,United States,United States,OAK,LAS,1,80.55495911,0.0,-2.457437831800007
BUSA-6310140,2022-11-30,2023-02-05,Google Flights,One Way,BR,United States,Thailand,SFO,BKK,1,514.062042,169.6212206,-9.88744714999998
BUSA-6312479,2022-11-30,2022-12-01,Aeroprice,Return,LA,Brazil,Brazil,CNF,CGH,1,183.0,14.21,137.55911709900002
BUSA-6306162,2022-11-30,2023-02-27,Aeroprice,One Way,QR,Malaysia,Qatar,KUL,DOH,2,706.594642,480.71539568000003,-0.36656001239999725
BUSA-6314176,2022-11-30,2022-12-02,Direct,Return,F9,United States,United States,TPA,PHL,2,274.20170232000004,0.0,1.0934419363999934
BUSA-6308941,2022-11-30,2023-04-09,Google Flights,Return,BR,United States,Vietnam,SFO,SGN,1,539.09128,345.57676374000005,-8.113132769999972
BUSA-6315886,2022-11-30,2022-12-09,Google Flights,Return,EI,United States,United Kingdom,BOS,EDI,2,30.904672,937.3387017599999,42.985816713000126
BUSA-6314651,2022-11-30,2022-12-02,Google Flights,Return,EI,United States,Republic of Ireland,EWR,DUB,1,367.958751,342.63623538,67.39165850579997
BUSA-6315600,2022-11-30,2023-03-02,Direct,Return,EI,United States,United Kingdom,MCO,GLA,1,52.151634,460.94318288,12.328161006199965
BUSA-6306922,2022-11-30,2022-12-01,Direct,Return,CM,United States,Brazil,BOS,CNF,1,698.2524330000001,107.32613123,65.2797143883
BUSA-6310521,2022-11-30,2023-07-20,Google Flights,Return,SQ,United States,Indonesia,GEG,DPS,2,3751.0545640000005,241.21096496,92.1276892682
BUSA-6309363,2022-11-30,2022-12-02,Aeroprice,One Way,F9,United States,United States,ATL,DTW,1,44.40615058,0.0,-10.683845677299999
BUSA-6315761,2022-11-30,2022-12-18,Aeroprice,One Way,F9,United States,United States,LAS,PHX,1,31.84146987,0.0,-9.717784945999998
BUSA-6314504,2022-11-30,2023-01-06,Google Flights,One Way,NK,United States,United States,MIA,ATL,2,85.47073350000001,0.0,-6.780875335000003
BUSA-6308021,2022-11-30,2022-12-25,Direct,One Way,PR,Guam,Philippines,GUM,MNL,1,357.14797300000004,67.4826763,-10.779193614800025
BUSA-6315272,2022-11-30,2022-12-04,Aeroprice,One Way,RO,Turkey,Romania,IST,OTP,1,320.0,43.0,6.601504823300004
BUSA-6311319,2022-11-30,2022-12-05,Google Flights,One Way,TK,United States,Turkey,BOS,IST,2,1128.020528,366.6066716,17.439558694600088
BUSA-6314063,2022-11-30,2022-11-30,Aeroprice,One Way,Y4,Mexico,Mexico,CJS,CUN,3,299.17654038,0.0,-8.06679942149999
BUSA-6315462,2022-11-30,2023-03-10,Google Flights,Return,AR,United States,Argentina,JFK,EZE,1,819.9395790000001,137.12016658,16.21515422080007
BUSA-6313206,2022-11-30,2022-12-11,Aeroprice,One Way,EI,United States,Republic of Ireland,SFO,CFN,1,248.203147,167.46469140000002,17.65220989039999
BUSA-6309253,2022-11-30,2022-12-05,Aeroprice,One Way,F9,United States,United States,DFW,MIA,1,66.61888358,0.0,-0.613639719299993
BUSA-6312951,2022-11-30,2022-12-15,Direct,Return,F9,United States,United States,LGA,MCO,1,99.43578216,0.0,9.714315354700005
