Order Number,Sales Date,Departure Date,Channel,Journey Type,Fare Carrier,Origin Country,Destination Country,Origin Airport Code,Destination Airport Code,Number of Passengers,Base Fare,Tax,Margin
BUSA-5619131,2022-08-31,2022-09-12,Aeroprice,One Way,AS,United States,United States,SAN,SJC,2,100.7603754,36.849852600000006,-12.884531900000006
BUSA-5620615,2022-08-31,2022-09-04,Aeroprice,One Way,F9,United States,United States,SNA,DEN,1,88.855428,0.0,-4.690101119999997
BUSA-5623364,2022-08-31,2022-09-24,Direct,One Way,F9,United States,United States,MIA,ATL,1,28.939428000000003,0.0,12.099859979999998
BUSA-5623866,2022-08-31,2022-09-14,Aeroprice,One Way,OZ,United States,South Korea,JFK,ICN,1,844.8156,235.37002,2.4403977800000654
BUSA-5625525,2022-08-31,2022-09-02,Aeroprice,One Way,TK,Turkey,Republic of Kosovo,IST,PRN,1,42.0,68.14,-6.413497639999996
BUSA-5620484,2022-08-31,2022-11-07,Aeroprice,One Way,W6,Germany,Hungary,BER,BUD,1,25.823796,0.0,-1.1127164800000022
BUSA-5623773,2022-08-31,2022-11-06,Google Flights,Return,AM,United States,Mexico,SFO,MEX,1,214.699,165.16844,8.693052880000035
BUSA-5620225,2022-08-31,2022-10-13,Aeroprice,Return,AS,United States,United States,EUG,SEA,2,388.1370702,87.68138580000002,-21.104939539999872
BUSA-5620579,2022-08-31,2022-10-26,Aeroprice,Return,AM,United States,Mexico,SFO,MEX,1,290.0514825,165.557925,42.17693604500002
BUSA-5618625,2022-08-31,2022-10-07,Google Flights,One Way,AT,United States,Spain,IAD,BCN,1,88.482725,219.59104099999996,-8.182584669999942
BUSA-5620711,2022-08-31,2022-09-01,Aeroprice,One Way,CM,Mexico,Colombia,CUN,CLO,1,94.6831275,60.121035,-10.22665586499998
BUSA-5622597,2022-08-31,2022-10-06,Aeroprice,One Way,EI,United States,Republic of Ireland,IAD,DUB,1,248.17714999999998,164.56928000000002,40.4132415599999
