Order Number,Sales Date,Departure Date,Channel,Journey Type,Fare Carrier,Origin Country,Destination Country,Origin Airport Code,Destination Airport Code,Number of Passengers,Base Fare,Tax,Margin
BUSA-6511437,2022-12-31,2023-01-02,Aeroprice,One Way,AS,United States,United States,SAN,FLL,1,195.61798195999998,28.346902280000002,-2.0658643840000064
BUSA-6507157,2022-12-31,2023-01-18,Google Flights,One Way,CI,United States,Taiwan,JFK,TPE,1,1004.234635,132.269632,11.32984306240012
BUSA-6509704,2022-12-31,2023-01-02,Aeroprice,One Way,F9,United States,United States,LGA,MIA,1,151.72993266,0.0,30.307861770399995
BUSA-6507024,2022-12-31,2023-01-01,Aeroprice,One Way,LA,Chile,Chile,SCL,ANF,2,182.44777208,15.01539144,-3.8409760711999867
BUSA-6508769,2022-12-31,2023-01-06,Aeroprice,One Way,P5,Mexico,Colombia,CUN,MDE,1,71.25133468,0.0,-11.384119894200003
BUSA-6506036,2022-12-31,2023-05-27,Direct,Return,F9,United States,United States,MIA,ATL,5,272.25186115,0.0,-1.673384300000044
BUSA-6506834,2022-12-31,2023-01-28,Google Flights,Return,NK,United States,United States,MCO,EWR,4,293.56748964,0.0,-9.779781273400014
BUSA-6507805,2022-12-31,2023-01-21,Aeroprice,Return,F9,United States,United States,DFW,SFO,1,181.69746088,0.0,49.872542948200014
BUSA-6510267,2022-12-31,2023-05-30,Aeroprice,Return,PR,United States,Philippines,LAX,MNL,1,755.043068,443.7985775,-5.221078940799945
BUSA-6507428,2022-12-31,2023-01-26,Aeroprice,One Way,SQ,United States,Thailand,LAX,CNX,1,634.095444,49.9315245,-16.621042710400154
BUSA-6509261,2022-12-31,2023-01-07,Direct,One Way,G3,Brazil,United States,GIG,LGA,1,627.2613,64.69683599999999,17.28389994899996
BUSA-6511039,2022-12-31,2023-08-14,Aeroprice,Return,FI,United States,United States,EWR,JFK,1,233.00160200000002,784.6845793,56.88014024639989
BUSA-6510103,2022-12-31,2023-07-27,Kayak Group,Return,SQ,United States,Malaysia,SEA,KUL,3,2322.33867,270.5210721,111.7467682450003
BUSA-6507977,2022-12-31,2023-01-11,Google Flights,Return,TK,United States,Pakistan,LAX,KHI,2,466.515444,1307.6484102000002,-11.28233074819985
BUSA-6505830,2022-12-31,2023-01-07,Google Flights,Return,SK,United States,Italy,LAX,FCO,1,469.7075,424.85043375,-2.1104175999999484
BUSA-6509210,2022-12-31,2023-02-02,Direct,One Way,F9,United States,United States,ATL,MIA,3,73.02184510000001,0.0,-1.2679479500000141
BUSA-6510101,2022-12-31,2023-01-02,Aeroprice,One Way,P5,Colombia,Colombia,BOG,CTG,1,59.02638178,0.0,-2.1153573287999965
BUSA-6511398,2022-12-31,2023-01-09,Google Flights,One Way,PD,United States,Canada,EWR,YTZ,1,62.65171263999999,18.379584360000003,-1.2450713062000007
BUSA-6509980,2022-12-31,2023-01-06,Direct,Return,F9,United States,United States,LGA,MCO,3,320.2843982,0.0,2.1232010279999747
BUSA-6506693,2022-12-31,2023-01-18,Google Flights,Return,NK,United States,United States,ATL,BWI,5,219.54329208,0.0,-17.50791874000001
BUSA-6506290,2022-12-31,2023-06-20,Other,One Way,AT,United States,Egypt,JFK,CAI,5,1378.121805,1266.0495955000001,31.935245843999702
BUSA-6508034,2022-12-31,2023-03-03,Google Flights,Return,CI,United States,Taiwan,LAX,TPE,2,1348.99994,535.5604915,29.557316000800114
BUSA-6510694,2022-12-31,2023-05-13,Google Flights,One Way,EI,United States,United Kingdom,IAD,EDI,1,217.332496,155.036759,22.529781418400006
BUSA-6507029,2022-12-31,2023-01-01,Aeroprice,One Way,TK,Morocco,Turkey,FEZ,IST,1,157.82172,92.5323775,-16.98758336199999
BUSA-6510848,2022-12-31,2023-04-27,Google Flights,Return,TN,United States,France,LAX,CDG,2,2252.014312,499.2089962,41.13448633840008
BUSA-6507919,2022-12-31,2023-01-04,Kayak Group,Return,3U,Canada,China,YVR,CTU,1,3082.220615,260.24613745,1.7227121511995769
BUSA-6510542,2022-12-31,2023-08-14,Aeroprice,Return,FI,United States,Spain,EWR,BCN,1,121.78114,353.5868561,5.629744231600009
BUSA-6511135,2022-12-31,2023-03-01,Google Flights,Return,TK,United States,Egypt,ORD,CAI,1,280.096622,533.24214094,-15.541987828600028
BUSA-6508145,2022-12-31,2023-01-25,Aeroprice,One Way,F9,United States,United States,MCO,ATL,1,17.78004644,0.0,-5.973383844000001
BUSA-6511183,2022-12-31,2023-02-14,Aeroprice,One Way,NP,Egypt,Turkey,CAI,SAW,1,70.25835,115.02697062,-12.349731395999981
BUSA-6511319,2022-12-31,2023-01-09,Google Flights,One Way,PD,United States,Canada,EWR,YTZ,1,62.65171263999999,18.379584360000003,-1.5336926080000008
BUSA-6508220,2022-12-31,2023-06-22,Google Flights,One Way,QF,United States,Australia,LAX,MEL,2,1959.739576,109.9777372,10.17821886
BUSA-6511370,2022-12-31,2023-02-10,Google Flights,Return,NK,United States,United States,BNA,FLL,2,101.13455288,0.0,-7.456290799999996
BUSA-6510122,2022-12-31,2023-06-22,Kayak Group,One Way,EI,United States,Belgium,BOS,BRU,2,584.549472,310.6355848,68.42902043660004
BUSA-6509991,2022-12-31,2023-01-21,Google Flights,One Way,QR,United States,Bangladesh,JFK,DAC,1,425.297212,251.056504,-5.701667084799919
BUSA-6506622,2022-12-31,2023-02-12,Direct,Return,TP,United States,Spain,JFK,BCN,1,99.57799,248.42829675,-0.9530792399999584
BUSA-6510394,2022-12-31,2023-02-05,Google Flights,One Way,NK,United States,United States,LAX,DFW,1,37.63974004,0.0,-0.4318735849999973
